日期,最高温度,最低温度,天气,风向
2021-03-24 周三,23°,16°,阴~多云,西北风微风
2021-03-25 周四,28°,17°,多云,东南风2级
2021-03-26 周五,27°,19°,多云,东南风3级
2021-03-27 周六,28°,21°,多云,东南风微风
2021-03-28 周日,30°,22°,阴~多云,南风2级
2021-03-29 周一,29°,23°,阴~多云,南风3级
2021-03-30 周二,31°,25°,阴~多云,南风3级
2021-03-31 周三,28°,24°,阴~多云,东南风3级
2021-04-01 周四,31°,24°,多云,东南风3级
2021-04-02 周五,31°,23°,多云,东南风3级
2021-04-03 周六,32°,23°,多云,东南风2级
2021-04-04 周日,24°,21°,阴,北风3级
2021-04-05 周一,24°,19°,阴~多云,东北风2级
2021-04-06 周二,30°,21°,阴~多云,东南风2级
2021-04-07 周三,27°,20°,阴~中雨,东南风3级
2021-04-08 周四,22°,17°,小雨,东风3级
2021-04-09 周五,22°,18°,阴,东北风2级
2021-04-10 周六,26°,19°,阴~多云,东南风2级
2021-04-11 周日,29°,19°,阴~多云,东南风微风
2021-04-12 周一,30°,20°,多云,南风3级
2021-04-13 周二,31°,21°,阴~多云,东南风微风
2021-04-14 周三,31°,22°,阴~多云,东南风3级
2021-04-15 周四,26°,21°,阴~大雨,东南风3级
2021-04-16 周五,23°,20°,小雨,东南风2级
2021-04-17 周六,25°,20°,阴~阵雨,东北风2级
2021-04-18 周日,27°,19°,阴~阵雨,东南风2级
2021-04-19 周一,24°,19°,阴~阵雨,东南风微风
2021-04-20 周二,25°,20°,阴~多云,东南风2级
2021-04-21 周三,31°,21°,晴~多云,东南风2级
2021-04-22 周四,31°,21°,多云~晴,西南风2级
2021-04-23 周五,34°,21°,阴~多云,南风2级
2021-04-24 周六,27°,23°,阴,东南风微风
2021-04-25 周日,27°,22°,小雨,东南风微风
2021-04-26 周一,24°,21°,小雨~中雨,东北风2级
2021-04-27 周二,22°,20°,小雨~大雨,东风2级
2021-04-28 周三,22°,19°,中雨~阵雨,北风2级
2021-04-29 周四,23°,18°,多云,北风3级
2021-04-30 周五,32°,19°,多云,东南风微风
2021-05-01 周六,32°,22°,多云,西南风2级
2021-05-02 周日,32°,23°,小雨~阵雨,东南风2级
2021-05-03 周一,25°,22°,小雨~多云,东南风3级
2021-05-04 周二,31°,20°,阴~中雨,南风3级
2021-05-05 周三,30°,22°,阴~多云,北风微风
2021-05-06 周四,30°,23°,阴~雷阵雨,东南风3级
2021-05-07 周五,31°,23°,阴~多云,南风2级
2021-05-08 周六,34°,25°,阴~多云,西南风2级
2021-05-09 周日,35°,25°,阴~雷阵雨,西南风微风
2021-05-10 周一,34°,26°,阴~阵雨,南风3级
2021-05-11 周二,34°,26°,阴~雷阵雨,南风3级
2021-05-12 周三,34°,26°,阴~多云,西南风3级
2021-05-13 周四,33°,26°,中雨~多云,南风3级
2021-05-14 周五,33°,26°,中雨~晴,南风3级
2021-05-15 周六,34°,27°,阴~多云,南风微风
2021-05-16 周日,35°,26°,阴~雷阵雨,南风3级
2021-05-17 周一,33°,25°,阴~大雨,西南风3级
2021-05-18 周二,33°,26°,小雨~阵雨,西南风2级
2021-05-19 周三,34°,26°,阴~多云,南风3级
2021-05-20 周四,35°,28°,阴~晴,西南风3级
2021-05-21 周五,36°,28°,阴~晴,西南风3级
2021-05-22 周六,35°,28°,多云~晴,南风3级
2021-05-23 周日,35°,26°,阴~多云,东南风3级
2021-05-24 周一,30°,26°,暴雨~雷阵雨,东北风2级
2021-05-25 周二,33°,26°,阴~阵雨,东南风2级
2021-05-26 周三,30°,27°,中雨~雷阵雨,南风微风
2021-05-27 周四,34°,26°,雷阵雨,西南风3级
2021-05-28 周五,35°,26°,阴~雷阵雨,西南风3级
2021-05-29 周六,33°,26°,中雨~大雨,西南风3级
2021-05-30 周日,34°,25°,大雨,西南风2级
2021-05-31 周一,32°,25°,大雨,西南风2级
2021-06-01 周二,30°,25°,大雨~中雨,东南风2级
2021-06-02 周三,29°,25°,大雨~中雨,东南风2级
2021-06-03 周四,33°,25°,阴~大雨,东南风2级
2021-06-04 周五,26°,23°,大雨~阴,西北风3级
2021-06-05 周六,30°,23°,阴~多云,西北风2级
2021-06-06 周日,34°,24°,多云~雷阵雨,东北风2级
2021-06-07 周一,32°,25°,阴~雷阵雨,东南风2级
2021-06-08 周二,34°,25°,阴~雷阵雨,东南风2级
2021-06-09 周三,33°,25°,阴~雷阵雨,东南风2级
2021-06-10 周四,32°,25°,阴~雷阵雨,东南风2级
2021-06-11 周五,32°,26°,阴~雷阵雨,东风3级
2021-06-12 周六,31°,25°,阴~中雨,东南风3级
2021-06-13 周日,32°,26°,大雨~雷阵雨,东南风3级
2021-06-14 周一,30°,26°,阴~多云,东南风3级
2021-06-15 周二,33°,26°,阴~雷阵雨,南风2级
2021-06-16 周三,34°,27°,阴~多云,南风3级
2021-06-17 周四,34°,27°,阴~多云,南风2级
2021-06-18 周五,35°,27°,阴~多云,西南风3级
2021-06-19 周六,35°,28°,阴~多云,西南风3级
2021-06-20 周日,36°,28°,阴~多云,西南风3级
2021-06-21 周一,35°,25°,阴~大雨,西南风2级
2021-06-22 周二,28°,24°,小雨~大雨,西风1级
2021-06-23 周三,29°,24°,大雨,东南风2级
2021-06-24 周四,30°,25°,阴~雷阵雨,东南风1级
2021-06-25 周五,32°,26°,阴~雷阵雨,东南风2级
2021-06-26 周六,33°,26°,阴~多云,南风2级
2021-06-27 周日,35°,26°,中雨~雷阵雨,西南风3级
2021-06-28 周一,30°,26°,阴~雷阵雨,南风3级
2021-06-29 周二,32°,26°,阴~雷阵雨,南风2级
2021-06-30 周三,33°,27°,阴~雷阵雨,南风3级
2021-07-01 周四,34°,28°,阴~雷阵雨,西南风3级
2021-07-02 周五,34°,28°,阴~雷阵雨,南风3级
2021-07-03 周六,33°,28°,阴~多云,东南风3级
2021-07-04 周日,35°,27°,阴~多云,东南风3级
2021-07-05 周一,34°,26°,阴~雷阵雨,东南风2级
2021-07-06 周二,33°,25°,多云~中雨,东南风3级
2021-07-07 周三,32°,26°,小雨~雷阵雨,东南风3级
2021-07-08 周四,33°,27°,多云,东南风3级
2021-07-09 周五,35°,26°,多云,南风2级
2021-07-10 周六,35°,26°,阴~晴,东南风3级
2021-07-11 周日,35°,26°,多云,东南风3级
2021-07-12 周一,34°,26°,多云~晴,东南风3级
2021-07-13 周二,35°,26°,阴~多云,南风3级
2021-07-14 周三,36°,26°,阴~多云,南风3级
2021-07-15 周四,34°,26°,阴~多云,东南风3级
2021-07-16 周五,35°,25°,阴~雷阵雨,南风2级
2021-07-17 周六,34°,25°,阴~雷阵雨,东南风2级
2021-07-18 周日,34°,24°,阴~雷阵雨,东南风2级
2021-07-19 周一,30°,24°,阴~中雨,东北风2级
2021-07-20 周二,28°,24°,小雨~中雨,东北风3级
2021-07-21 周三,27°,25°,阴~雷阵雨,东南风3级
2021-07-22 周四,35°,25°,阴~多云,东南风2级
2021-07-23 周五,37°,25°,多云~晴,西北风2级
2021-07-24 周六,36°,26°,晴~雷阵雨,北风2级
2021-07-25 周日,36°,26°,多云,东北风2级
2021-07-26 周一,35°,26°,多云,西南风2级
2021-07-27 周二,37°,27°,多云,西风2级
2021-07-28 周三,38°,26°,阴~中雨,西南风2级
2021-07-29 周四,36°,26°,小雨~中雨,东南风2级
2021-07-30 周五,32°,25°,阴~雷阵雨,南风2级
2021-07-31 周六,33°,26°,阴~多云,西南风2级
2021-08-01 周日,36°,27°,阴~多云,西南风2级
2021-08-02 周一,34°,27°,阴~多云,西南风2级
2021-08-03 周二,34°,27°,阴~中雨,东北风2级
2021-08-04 周三,32°,26°,阴~中雨,北风3级
2021-08-05 周四,30°,26°,阴~中雨,西风2级
2021-08-06 周五,32°,26°,大雨~雷阵雨,西南风2级
2021-08-07 周六,35°,26°,阴~雷阵雨,西南风2级
2021-08-08 周日,32°,26°,阴~雷阵雨,南风2级
2021-08-09 周一,29°,26°,阴~中雨,东南风2级
2021-08-10 周二,31°,25°,小雨~中雨,东南风3级
2021-08-11 周三,33°,25°,暴雨~雷阵雨,东南风2级
2021-08-12 周四,34°,26°,阴~雷阵雨,东南风2级
2021-08-13 周五,33°,25°,阴~中雨,南风2级
2021-08-14 周六,31°,25°,阴~中雨,南风2级
2021-08-15 周日,31°,26°,阴~雷阵雨,东南风2级
2021-08-16 周一,34°,26°,阴~多云,东南风2级
2021-08-17 周二,34°,26°,多云~雷阵雨,西南风2级
2021-08-18 周三,31°,26°,阴~雷阵雨,西南风2级
2021-08-19 周四,33°,26°,阴~多云,东南风2级
2021-08-20 周五,34°,26°,多云,西南风2级
2021-08-21 周六,35°,27°,多云~晴,西南风2级
2021-08-22 周日,35°,27°,多云,南风3级
2021-08-23 周一,35°,27°,多云,南风3级
2021-08-24 周二,34°,26°,阴~多云,东南风3级
2021-08-25 周三,34°,26°,中雨~多云,东南风3级
2021-08-26 周四,35°,26°,阴~雷阵雨,东南风2级
2021-08-27 周五,33°,26°,阴~雷阵雨,东南风2级
2021-08-28 周六,33°,25°,阴~雷阵雨,东南风2级
2021-08-29 周日,33°,25°,阴~多云,东南风2级
2021-08-30 周一,34°,25°,多云~雷阵雨,东南风2级
2021-08-31 周二,30°,24°,多云~雷阵雨,东南风2级
2021-09-01 周三,31°,25°,多云,东风2级
2021-09-02 周四,33°,25°,多云,东南风2级
2021-09-03 周五,34°,26°,多云,东南风2级
2021-09-04 周六,35°,26°,多云~雷阵雨,东南风2级
2021-09-05 周日,35°,26°,多云,东南风2级
2021-09-06 周一,35°,25°,多云~雷阵雨,东南风2级
2021-09-07 周二,35°,25°,多云~雷阵雨,东风2级
2021-09-08 周三,34°,25°,多云,东风2级
2021-09-09 周四,36°,26°,多云,东风2级
2021-09-10 周五,35°,27°,多云~晴,东南风2级
2021-09-11 周六,36°,27°,多云~晴,西北风2级
2021-09-12 周日,36°,27°,多云~晴,西北风2级
2021-09-13 周一,36°,26°,多云~雷阵雨,东风2级
2021-09-14 周二,35°,26°,多云~雷阵雨,东南风2级
2021-09-15 周三,34°,25°,多云~雷阵雨,西北风2级
2021-09-16 周四,35°,25°,多云~雷阵雨,西北风2级
2021-09-17 周五,34°,25°,多云,东北风1级
2021-09-18 周六,34°,25°,多云,东南风2级
2021-09-19 周日,35°,25°,多云,东南风2级
2021-09-20 周一,33°,25°,多云,东南风2级
2021-09-21 周二,35°,25°,多云,东南风1级
2021-09-22 周三,35°,25°,多云,东南风2级
2021-09-23 周四,32°,25°,多云,东南风3级
2021-09-24 周五,33°,25°,多云~晴,东南风3级
2021-09-25 周六,34°,25°,多云~晴,东南风2级
2021-09-26 周日,33°,25°,多云~晴,东南风1级
2021-09-27 周一,35°,24°,多云~晴,南风2级
2021-09-28 周二,34°,26°,多云,南风2级
2021-09-29 周三,35°,26°,多云,西南风2级
2021-09-30 周四,35°,25°,多云,西南风2级
2021-10-01 周五,34°,25°,小雨~雷阵雨,南风2级
2021-10-02 周六,34°,25°,多云~雷阵雨,东南风2级
2021-10-03 周日,34°,25°,阴~多云,东南风2级
2021-10-04 周一,34°,24°,晴,东南风2级
2021-10-05 周二,34°,24°,晴,东风2级
2021-10-06 周三,35°,24°,晴,东风2级
2021-10-07 周四,34°,25°,多云,东北风3级
2021-10-08 周五,25°,23°,中雨~暴雨,东北风3级
2021-10-09 周六,26°,23°,中雨,东北风4级
2021-10-10 周日,28°,23°,小雨~多云,东北风2级
2021-10-11 周一,29°,22°,多云,北风4级
2021-10-12 周二,25°,20°,多云~中雨,北风5级
2021-10-13 周三,25°,20°,中雨~小雨,东北风4级
2021-10-14 周四,30°,23°,多云,东北风3级
2021-10-15 周五,24°,21°,阴~阵雨,北风3级
2021-10-16 周六,25°,18°,多云,北风4级
2021-10-17 周日,24°,16°,多云~晴,北风4级
2021-10-18 周一,27°,18°,多云,东北风2级
2021-10-19 周二,30°,19°,多云,东风1级
2021-10-20 周三,31°,17°,多云~小雨,东南风2级
2021-10-21 周四,20°,15°,多云~小雨,北风3级
2021-10-22 周五,18°,14°,多云~阴,北风4级
2021-10-23 周六,18°,15°,多云,北风3级
2021-10-24 周日,25°,16°,多云,北风3级
2021-10-25 周一,25°,18°,晴~多云,东北风3级
2021-10-26 周二,29°,19°,多云,北风2级
2021-10-27 周三,29°,19°,多云,东北风2级
2021-10-28 周四,29°,19°,多云,北风2级
2021-10-29 周五,29°,21°,多云~小雨,东北风2级
2021-10-30 周六,19°,18°,小雨,东北风2级
2021-10-31 周日,25°,19°,阴~多云,东北风2级
2021-11-01 周一,26°,19°,多云,东北风2级
2021-11-02 周二,25°,20°,多云,东北风2级
2021-11-03 周三,26°,21°,多云,东北风2级
2021-11-04 周四,28°,21°,多云,东南风1级
2021-11-05 周五,30°,22°,多云,东南风2级
2021-11-06 周六,31°,20°,多云,东南风2级
2021-11-07 周日,30°,12°,多云~小雨,东南风2级
2021-11-08 周一,19°,10°,多云,北风4级
2021-11-09 周二,21°,12°,多云,北风3级
2021-11-10 周三,23°,11°,多云~晴,北风3级
2021-11-11 周四,26°,13°,多云~晴,东北风2级
2021-11-12 周五,24°,12°,多云~晴,东北风3级
2021-11-13 周六,24°,14°,多云,北风3级
2021-11-14 周日,25°,16°,多云,东北风2级
2021-11-15 周一,24°,16°,多云,东北风2级
2021-11-16 周二,25°,16°,多云,东北风2级
2021-11-17 周三,23°,14°,多云~小雨,北风3级
2021-11-18 周四,24°,16°,阴~多云,北风3级
2021-11-19 周五,24°,16°,多云,东北风1级
2021-11-20 周六,28°,18°,多云,东南风2级
2021-11-21 周日,27°,13°,多云~小雨,东南风2级
2021-11-22 周一,17°,11°,多云~晴,北风4级
2021-11-23 周二,16°,11°,多云,北风3级
2021-11-24 周三,22°,14°,晴~多云,北风2级
2021-11-25 周四,24°,12°,多云~晴,北风2级
2021-11-26 周五,25°,11°,多云~晴,北风3级
2021-11-27 周六,25°,13°,多云~晴,北风3级
2021-11-28 周日,25°,14°,多云~晴,北风3级
2021-11-29 周一,27°,13°,多云~晴,北风3级
2021-11-30 周二,22°,8°,多云~晴,北风4级
2021-12-01 周三,20°,7°,多云~晴,北风3级
2021-12-02 周四,21°,7°,多云~晴,北风3级
2021-12-03 周五,22°,7°,多云~晴,东北风3级
2021-12-04 周六,22°,7°,多云~晴,东北风2级
2021-12-05 周日,22°,8°,多云~晴,东北风2级
2021-12-06 周一,23°,9°,多云~晴,东北风3级
2021-12-07 周二,24°,10°,多云~晴,东北风2级
2021-12-08 周三,26°,11°,多云~晴,东北风2级
2021-12-09 周四,25°,12°,晴,东北风2级
2021-12-10 周五,25°,13°,晴~多云,东北风2级
2021-12-11 周六,27°,11°,多云~晴,东北风1级
2021-12-12 周日,26°,11°,晴,北风3级
2021-12-13 周一,22°,11°,多云~晴,北风3级
2021-12-14 周二,24°,15°,晴~多云,东北风2级
2021-12-15 周三,22°,17°,多云~小雨,东风1级
2021-12-16 周四,26°,17°,多云~小雨,东北风1级
2021-12-17 周五,21°,11°,多云~晴,北风4级
2021-12-18 周六,20°,10°,多云,东北风3级
2021-12-19 周日,18°,13°,多云~小雨,东北风3级
2021-12-20 周一,16°,12°,小雨,东北风2级
2021-12-21 周二,18°,12°,中雨~多云,北风3级
2021-12-22 周三,23°,14°,多云~小雨,北风2级
2021-12-23 周四,18°,14°,多云,东北风2级
2021-12-24 周五,23°,13°,多云,北风1级
2021-12-25 周六,21°,8°,晴~多云,东北风3级
2021-12-26 周日,13°,5°,小雨,东北风4级
2021-12-27 周一,10°,7°,多云~阴,东北风3级
2021-12-28 周二,13°,9°,多云,北风2级
2021-12-29 周三,15°,10°,多云,北风2级
2021-12-30 周四,19°,9°,多云~晴,北风3级
2021-12-31 周五,21°,12°,多云~晴,东北风2级
2022-01-01 周六,19°,10°,多云,东北风2级
2022-01-02 周日,23°,12°,多云,北风2级
2022-01-03 周一,25°,12°,多云,东风1级
2022-01-04 周二,25°,15°,晴~阴,东南风2级
2022-01-05 周三,24°,13°,多云,东北风1级
2022-01-06 周四,24°,11°,多云,东北风3级
2022-01-07 周五,22°,11°,晴~多云,东北风2级
2022-01-08 周六,22°,11°,晴~多云,东北风2级
2022-01-09 周日,18°,12°,多云,东北风2级
2022-01-10 周一,18°,11°,多云,东北风2级
2022-01-11 周二,17°,8°,晴,北风3级
2022-01-12 周三,15°,10°,多云,东北风2级
2022-01-13 周四,17°,10°,多云,东北风2级
2022-01-14 周五,15°,13°,多云,东风2级
2022-01-15 周六,19°,13°,多云,东北风1级
2022-01-16 周日,23°,13°,晴~阴,东南风1级
2022-01-17 周一,17°,12°,多云~小雨,北风3级
2022-01-18 周二,16°,12°,多云,北风3级
2022-01-19 周三,18°,10°,晴~多云,北风2级
2022-01-20 周四,21°,12°,多云~阴,东北风2级
2022-01-21 周五,23°,15°,多云~阴,东南风2级
2022-01-22 周六,21°,16°,多云~小雨,东风2级
2022-01-23 周日,21°,15°,多云~小雨,东北风1级
2022-01-24 周一,18°,14°,多云~阴,北风2级
2022-01-25 周二,19°,13°,阴~小雨,东北风2级
2022-01-26 周三,20°,16°,多云~小雨,东南风2级
2022-01-27 周四,26°,17°,多云~小雨,东南风2级
2022-01-28 周五,20°,12°,多云~阴,北风2级
2022-01-29 周六,14°,8°,多云~小雨,北风3级
2022-01-30 周日,14°,8°,多云,北风3级
2022-01-31 周一,9°,6°,小雨~中雨,东北风3级
2022-02-01 周二,11°,8°,中雨~小雨,北风3级
2022-02-02 周三,10°,7°,小雨~大雨,北风2级
2022-02-03 周四,10°,7°,小雨~多云,北风3级
2022-02-04 周五,15°,6°,多云,北风3级
2022-02-05 周六,13°,9°,多云,东北风3级
2022-02-06 周日,15°,11°,多云~大雨,东北风2级
2022-02-07 周一,15°,8°,小雨~阴,东北风2级
2022-02-08 周二,13°,9°,多云~阴,北风3级
2022-02-09 周三,11°,9°,多云~阴,北风2级
2022-02-10 周四,16°,8°,阴,东北风2级
2022-02-11 周五,22°,13°,多云~阴,北风1级
2022-02-12 周六,20°,15°,多云~小雨,北风2级
2022-02-13 周日,13°,9°,多云~小雨,北风3级
2022-02-14 周一,21°,10°,晴~多云,北风3级
2022-02-15 周二,21°,12°,多云~阴,东北风2级
2022-02-16 周三,20°,13°,多云~小雨,东南风2级
2022-02-17 周四,16°,13°,小雨~中雨,东南风2级
2022-02-18 周五,17°,10°,多云~小雨,东北风2级
2022-02-19 周六,9°,5°,中雨~大雨,北风4级
2022-02-20 周日,6°,4°,大雨,北风4级
2022-02-21 周一,7°,5°,中雨,北风3级
2022-02-22 周二,9°,6°,小雨~中雨,北风3级
2022-02-23 周三,14°,5°,多云,北风4级
2022-02-24 周四,16°,6°,多云~晴,北风3级
2022-02-25 周五,19°,8°,多云~晴,东北风2级
2022-02-26 周六,23°,10°,多云,北风1级
2022-02-27 周日,25°,13°,多云,东南风2级
2022-02-28 周一,25°,14°,阴~多云,东南风2级
2022-03-01 周二,27°,15°,阴~多云,西北风1级
2022-03-02 周三,27°,16°,多云,东北风2级
2022-03-03 周四,26°,17°,多云,东南风3级
2022-03-04 周五,28°,17°,多云,东南风2级
2022-03-05 周六,29°,17°,多云,东南风2级
2022-03-06 周日,25°,14°,多云~小雨,东南风3级
2022-03-07 周一,24°,12°,多云~晴,北风3级
2022-03-08 周二,24°,10°,晴,东北风3级
2022-03-09 周三,25°,12°,晴~多云,东南风2级
2022-03-10 周四,26°,15°,晴~多云,东南风2级
2022-03-11 周五,27°,16°,多云,东南风2级
2022-03-12 周六,28°,17°,多云,东南风3级
2022-03-13 周日,29°,18°,多云,东南风3级
2022-03-14 周一,30°,19°,多云,东南风2级
2022-03-15 周二,30°,19°,多云,东南风2级
2022-03-16 周三,26°,20°,多云~阵雨,东南风3级
2022-03-17 周四,29°,19°,多云~雷阵雨,南风2级
2022-03-18 周五,30°,20°,多云,北风2级
2022-03-19 周六,29°,21°,多云~阵雨,东南风3级
2022-03-20 周日,25°,22°,小雨~雷阵雨,东南风3级
2022-03-21 周一,27°,21°,多云~雷阵雨,东南风3级
2022-03-22 周二,29°,14°,多云~大雨,东南风3级
2022-03-23 周三,14°,13°,中雨,北风3级
2022-03-24 周四,16°,13°,中雨,东北风2级
2022-03-25 周五,23°,19°,暴雨~小雨,南风3级
2022-03-26 周六,31°,16°,大雨~小雨,西南风2级
2022-03-27 周日,22°,15°,多云~小雨,北风3级
2022-03-28 周一,16°,14°,小雨~阵雨,东北风3级
2022-03-29 周二,19°,18°,多云~中雨,东北风2级
2022-03-30 周三,27°,20°,雾~阴,东北风1级
2022-03-31 周四,30°,16°,多云~小雨,东北风1级
2022-04-01 周五,18°,12°,多云~小雨,北风4级
2022-04-02 周六,17°,12°,多云~阴,东北风4级
2022-04-03 周日,20°,10°,晴,东北风3级
2022-04-04 周一,26°,11°,晴,东北风2级
2022-04-05 周二,28°,15°,晴,西北风1级
2022-04-06 周三,30°,17°,多云~晴,东风2级
2022-04-07 周四,30°,16°,多云~晴,东北风2级
2022-04-08 周五,30°,16°,晴,西南风2级
2022-04-09 周六,30°,16°,晴,东南风2级
2022-04-10 周日,31°,17°,晴,南风2级
2022-04-11 周一,30°,18°,晴~多云,南风2级
2022-04-12 周二,30°,20°,多云,东南风3级
2022-04-13 周三,29°,19°,多云,西南风3级
2022-04-14 周四,30°,18°,阴~晴,北风3级
2022-04-15 周五,28°,20°,多云~小雨,东南风3级
2022-04-16 周六,24°,19°,多云~小雨,东南风3级
2022-04-17 周日,20°,17°,多云~小雨,东北风2级
2022-04-18 周一,16°,15°,小雨,北风3级
2022-04-19 周二,16°,15°,小雨,东北风2级
2022-04-20 周三,23°,17°,多云,东南风1级
2022-04-21 周四,28°,21°,多云,东南风2级
2022-04-22 周五,28°,22°,多云~阵雨,东南风3级
2022-04-23 周六,30°,23°,阴~雷阵雨,南风2级
2022-04-24 周日,29°,24°,多云~雷阵雨,东南风3级
2022-04-25 周一,32°,24°,多云~雷阵雨,南风3级
2022-04-26 周二,30°,24°,多云~雷阵雨,南风3级
